Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,label
23,20,75.0,9742,8,5,2002,2002,281.0,0.0,0.0,1777.0,1777.0,1795,0,0,1795,0.0,0.0,2,0,3,1,7,1,2002.0,2.0,534.0,171,159,0,0,0,0,0,9,2008,12.345834587905333
24,120,44.0,4224,5,7,1976,1976,0.0,840.0,0.0,200.0,1040.0,1060,0,0,1060,1.0,0.0,1,0,3,1,6,1,1976.0,2.0,572.0,100,110,0,0,0,0,0,6,2007,11.77452020265869
25,20,70.04995836802665,8246,5,8,1968,2001,0.0,188.0,668.0,204.0,1060.0,1060,0,0,1060,1.0,0.0,1,0,3,1,6,1,1968.0,1.0,270.0,406,90,0,0,0,0,0,5,2010,11.944707881395766
26,20,110.0,14230,8,5,2007,2007,640.0,0.0,0.0,1566.0,1566.0,1600,0,0,1600,0.0,0.0,2,0,3,1,7,1,2007.0,3.0,890.0,0,56,0,0,0,0,0,7,2009,12.454103912352162
27,20,60.0,7200,5,7,1951,2000,0.0,234.0,486.0,180.0,900.0,900,0,0,900,0.0,1.0,1,0,3,1,5,0,2005.0,2.0,576.0,222,32,0,0,0,0,0,5,2010,11.811547477460344
28,20,98.0,11478,8,5,2007,2008,200.0,1218.0,0.0,486.0,1704.0,1704,0,0,1704,1.0,0.0,2,0,3,1,7,1,2008.0,3.0,772.0,0,50,0,0,0,0,0,5,2010,12.631340380934517
29,20,47.0,16321,5,6,1957,1997,0.0,1277.0,0.0,207.0,1484.0,1600,0,0,1600,1.0,0.0,1,0,2,1,6,2,1957.0,1.0,319.0,288,258,0,0,0,0,0,12,2006,12.24288661865289
30,30,60.0,6324,4,6,1927,1950,0.0,0.0,0.0,520.0,520.0,520,0,0,520,0.0,0.0,1,0,1,1,4,0,1920.0,1.0,240.0,49,0,87,0,0,0,0,5,2008,11.134589024250317
31,70,50.0,8500,4,4,1920,1950,0.0,0.0,0.0,649.0,649.0,649,668,0,1317,0.0,0.0,1,0,3,1,6,0,1920.0,1.0,250.0,0,54,172,0,0,0,0,7,2008,10.596634733096073
32,20,70.04995836802665,8544,5,6,1966,2006,0.0,0.0,0.0,1228.0,1228.0,1228,0,0,1228,0.0,0.0,1,1,3,1,6,0,1966.0,1.0,271.0,0,65,0,0,0,0,0,6,2008,11.914047823644255
33,20,85.0,11049,8,5,2007,2007,0.0,0.0,0.0,1234.0,1234.0,1234,0,0,1234,0.0,0.0,2,0,3,1,7,0,2007.0,2.0,484.0,0,30,0,0,0,0,0,1,2008,12.100156419938624
34,20,70.0,10552,5,5,1959,1959,0.0,1018.0,0.0,380.0,1398.0,1700,0,0,1700,0.0,1.0,1,1,4,1,6,1,1959.0,2.0,447.0,0,38,0,0,0,0,0,4,2010,12.016726473799254
35,120,60.0,7313,9,5,2005,2005,246.0,1153.0,0.0,408.0,1561.0,1561,0,0,1561,1.0,0.0,2,0,2,1,6,1,2005.0,2.0,556.0,203,47,0,0,0,0,0,8,2007,12.533576212168626
36,60,108.0,13418,8,5,2004,2005,132.0,0.0,0.0,1117.0,1117.0,1132,1320,0,2452,0.0,0.0,3,1,4,1,9,1,2004.0,3.0,691.0,113,32,0,0,0,0,0,9,2006,12.641096555879882
37,20,112.0,10859,5,5,1994,1995,0.0,0.0,0.0,1097.0,1097.0,1097,0,0,1097,0.0,0.0,1,1,3,1,6,0,1995.0,2.0,672.0,392,64,0,0,0,0,0,6,2009,11.884489021402711
38,20,74.0,8532,5,6,1954,1990,650.0,1213.0,0.0,84.0,1297.0,1297,0,0,1297,0.0,1.0,1,0,3,1,5,1,1954.0,2.0,498.0,0,0,0,0,0,0,0,10,2009,11.938193200374572
39,20,68.0,7922,5,7,1953,2007,0.0,731.0,0.0,326.0,1057.0,1057,0,0,1057,1.0,0.0,1,0,3,1,5,0,1953.0,1.0,246.0,0,52,0,0,0,0,0,1,2010,11.59910316121128
40,90,65.0,6040,4,5,1955,1955,0.0,0.0,0.0,0.0,0.0,1152,0,0,1152,0.0,0.0,2,0,2,2,6,0,1978.5061638868744,0.0,0.0,0,0,0,0,0,0,0,6,2008,11.314474526246391
41,20,84.0,8658,6,5,1965,1965,101.0,643.0,0.0,445.0,1088.0,1324,0,0,1324,0.0,0.0,2,0,3,1,6,1,1965.0,2.0,440.0,0,138,0,0,0,0,0,12,2006,11.982929094215963
42,20,115.0,16905,5,6,1959,1959,0.0,967.0,0.0,383.0,1350.0,1328,0,0,1328,0.0,1.0,1,1,2,1,5,2,1959.0,1.0,308.0,0,104,0,0,0,0,0,7,2007,12.043553716032399
43,85,70.04995836802665,9180,5,7,1983,1983,0.0,747.0,93.0,0.0,840.0,884,0,0,884,1.0,0.0,1,0,2,1,5,0,1983.0,2.0,504.0,240,0,0,0,0,0,0,12,2007,11.877568578558138
44,20,70.04995836802665,9200,5,6,1975,1980,0.0,280.0,491.0,167.0,938.0,938,0,0,938,1.0,0.0,1,0,3,1,5,0,1977.0,1.0,308.0,145,0,0,0,0,0,0,7,2008,11.777210959615614
45,20,70.0,7945,5,6,1959,1959,0.0,179.0,506.0,465.0,1150.0,1150,0,0,1150,1.0,0.0,1,0,3,1,6,0,1959.0,1.0,300.0,0,0,0,0,0,0,0,5,2006,11.856515169360305
46,120,61.0,7658,9,5,2005,2005,412.0,456.0,0.0,1296.0,1752.0,1752,0,0,1752,1.0,0.0,2,0,2,1,6,1,2005.0,2.0,576.0,196,82,0,0,0,0,0,2,2010,12.675763725937609
47,50,48.0,12822,7,5,2003,2003,0.0,1351.0,0.0,83.0,1434.0,1518,631,0,2149,1.0,0.0,1,1,1,1,6,1,2003.0,2.0,670.0,168,43,0,0,198,0,0,8,2009,12.387085012375499
48,20,84.0,11096,8,5,2006,2006,0.0,24.0,0.0,1632.0,1656.0,1656,0,0,1656,0.0,0.0,2,0,3,1,7,0,2006.0,3.0,826.0,0,146,0,0,0,0,0,7,2007,12.428015476267865
49,190,33.0,4456,4,5,1920,2008,0.0,0.0,0.0,736.0,736.0,736,716,0,1452,0.0,0.0,2,0,2,3,8,0,1978.5061638868744,0.0,0.0,0,0,102,0,0,0,0,6,2009,11.635143097694478
50,20,66.0,7742,5,7,1966,1966,0.0,763.0,0.0,192.0,955.0,955,0,0,955,1.0,0.0,1,0,3,1,6,0,1966.0,1.0,386.0,0,0,0,0,0,0,0,1,2007,11.751942365440728
51,60,70.04995836802665,13869,6,6,1997,1997,0.0,182.0,0.0,612.0,794.0,794,676,0,1470,0.0,1.0,2,0,3,1,6,0,1997.0,2.0,388.0,0,75,0,0,0,0,0,7,2007,12.083905011555967
52,50,52.0,6240,6,6,1934,1950,0.0,0.0,0.0,816.0,816.0,816,0,360,1176,0.0,0.0,1,0,3,1,6,1,1985.0,2.0,528.0,112,0,0,0,0,0,400,9,2006,11.648330101976432
53,90,110.0,8472,5,5,1963,1963,0.0,104.0,712.0,0.0,816.0,816,0,0,816,1.0,0.0,1,0,2,1,5,0,1963.0,2.0,516.0,106,0,0,0,0,0,0,5,2010,11.608235644774552
54,20,68.0,50271,9,5,1981,1987,0.0,1810.0,0.0,32.0,1842.0,1842,0,0,1842,2.0,0.0,0,1,0,1,5,1,1981.0,3.0,894.0,857,72,0,0,0,0,0,11,2006,12.86099861326992
55,80,60.0,7134,5,5,1955,1955,0.0,384.0,0.0,0.0,384.0,1360,0,0,1360,0.0,0.0,1,0,3,1,6,1,1962.0,2.0,572.0,0,50,0,0,0,0,0,2,2007,11.77528972943772
56,20,100.0,10175,6,5,1964,1964,272.0,490.0,0.0,935.0,1425.0,1425,0,0,1425,0.0,0.0,2,0,3,1,7,1,1964.0,2.0,576.0,0,0,0,407,0,0,0,7,2008,12.103486056755072
57,160,24.0,2645,8,5,1999,2000,456.0,649.0,0.0,321.0,970.0,983,756,0,1739,1.0,0.0,2,1,3,1,7,0,1999.0,2.0,480.0,115,0,0,0,0,0,0,8,2009,12.058152515453552
58,60,89.0,11645,7,5,2004,2004,0.0,0.0,0.0,860.0,860.0,860,860,0,1720,0.0,0.0,2,1,3,1,7,0,2004.0,2.0,565.0,0,70,0,0,0,0,0,8,2006,12.188417710291453
59,60,66.0,13682,10,5,2006,2006,1031.0,0.0,0.0,1410.0,1410.0,1426,1519,0,2945,0.0,0.0,3,1,3,1,10,1,2006.0,3.0,641.0,192,0,37,0,0,0,0,10,2006,12.991753427493052
60,20,60.0,7200,5,7,1972,1972,0.0,632.0,0.0,148.0,780.0,780,0,0,780,0.0,0.0,1,0,2,1,4,0,1973.0,1.0,352.0,196,0,0,0,0,0,0,1,2008,11.73526869611367
61,20,63.0,13072,6,5,2004,2004,0.0,941.0,0.0,217.0,1158.0,1158,0,0,1158,1.0,0.0,1,1,3,1,5,0,2006.0,2.0,576.0,0,50,0,0,0,0,0,5,2006,11.970350312009105
62,75,60.0,7200,5,7,1920,1996,0.0,0.0,0.0,530.0,530.0,581,530,0,1111,0.0,0.0,1,0,3,1,6,0,1935.0,1.0,288.0,0,0,144,0,0,0,0,3,2007,11.522875795823397
63,120,44.0,6442,8,5,2006,2006,178.0,24.0,0.0,1346.0,1370.0,1370,0,0,1370,0.0,0.0,2,0,2,1,6,1,2006.0,2.0,484.0,120,49,0,0,0,0,0,10,2007,12.218495165528731
64,70,50.0,10300,7,6,1921,1950,0.0,0.0,0.0,576.0,576.0,902,808,0,1710,0.0,0.0,2,0,3,1,9,0,1990.0,2.0,480.0,12,11,64,0,0,0,0,4,2010,11.84939770159144
65,60,70.04995836802665,9375,7,5,1997,1998,573.0,739.0,0.0,318.0,1057.0,1057,977,0,2034,1.0,0.0,2,1,3,1,8,0,1998.0,2.0,645.0,576,36,0,0,0,0,0,2,2009,12.299107511497363
66,60,76.0,9591,8,5,2004,2005,344.0,0.0,0.0,1143.0,1143.0,1143,1330,0,2473,0.0,0.0,2,1,4,1,9,1,2004.0,3.0,852.0,192,151,0,0,0,0,0,10,2007,12.666657052859417
67,20,70.04995836802665,19900,7,5,1970,1989,287.0,912.0,0.0,1035.0,1947.0,2207,0,0,2207,1.0,0.0,2,0,3,1,7,1,1970.0,2.0,576.0,301,0,0,0,0,0,0,7,2010,12.100712129872347
68,20,72.0,10665,7,5,2003,2003,167.0,1013.0,0.0,440.0,1453.0,1479,0,0,1479,1.0,0.0,2,0,3,1,7,0,2003.0,2.0,558.0,144,29,0,0,0,0,0,6,2007,12.328290278254423
69,30,47.0,4608,4,6,1945,1950,0.0,0.0,0.0,747.0,747.0,747,0,0,747,0.0,0.0,1,0,2,1,4,0,1945.0,1.0,220.0,0,0,0,0,0,0,0,6,2010,11.289781913656018
70,50,81.0,15593,7,4,1953,1953,0.0,603.0,0.0,701.0,1304.0,1304,983,0,2287,0.0,0.0,2,0,3,1,7,1,1953.0,2.0,667.0,0,21,114,0,0,0,0,7,2006,12.323855681186558
71,20,95.0,13651,7,6,1973,1973,1115.0,1880.0,0.0,343.0,2223.0,2223,0,0,2223,1.0,0.0,2,0,3,1,8,2,1973.0,2.0,516.0,300,0,0,0,0,0,0,2,2007,12.404923504275338
72,20,69.0,7599,4,6,1982,2006,0.0,565.0,0.0,280.0,845.0,845,0,0,845,1.0,0.0,1,0,2,1,4,0,1987.0,2.0,360.0,0,0,0,0,0,0,0,6,2007,11.771436160121729
73,60,74.0,10141,7,5,1998,1998,40.0,0.0,0.0,832.0,832.0,885,833,0,1718,0.0,0.0,2,1,3,1,7,1,1998.0,2.0,427.0,0,94,0,0,291,0,0,12,2009,12.128111104060462
74,20,85.0,10200,5,7,1954,2003,104.0,320.0,362.0,404.0,1086.0,1086,0,0,1086,1.0,0.0,1,0,3,1,6,0,1989.0,2.0,490.0,0,0,0,0,0,0,0,5,2010,11.883799128308773
75,50,60.0,5790,3,6,1915,1950,0.0,0.0,0.0,840.0,840.0,840,765,0,1605,0.0,0.0,2,0,3,2,8,0,1915.0,1.0,379.0,0,0,202,0,0,0,0,5,2010,11.584315461056901
76,180,21.0,1596,4,5,1973,1973,0.0,462.0,0.0,0.0,462.0,526,462,0,988,1.0,0.0,1,0,2,1,5,0,1973.0,1.0,297.0,120,101,0,0,0,0,0,11,2009,11.418614785498987
77,20,70.04995836802665,8475,4,7,1956,1956,0.0,228.0,0.0,724.0,952.0,952,0,0,952,0.0,0.0,1,0,2,1,4,0,1956.0,1.0,283.0,0,0,0,0,0,0,0,4,2008,11.818570237796182
78,50,50.0,8635,5,5,1948,2001,0.0,336.0,41.0,295.0,672.0,1072,213,0,1285,1.0,0.0,1,0,2,1,6,0,1948.0,1.0,240.0,0,0,0,0,0,0,0,1,2008,11.751942365440728
79,90,72.0,10778,4,5,1968,1968,0.0,0.0,0.0,1768.0,1768.0,1768,0,0,1768,0.0,0.0,2,0,4,2,8,0,1978.5061638868744,0.0,0.0,0,0,0,0,0,0,0,4,2010,11.824079893607152
80,50,60.0,10440,5,6,1910,1981,0.0,0.0,0.0,440.0,440.0,682,548,0,1230,0.0,0.0,1,1,2,1,5,0,1966.0,2.0,440.0,74,0,128,0,0,0,0,5,2009,11.608235644774552
81,60,100.0,13000,6,6,1968,1968,576.0,448.0,0.0,448.0,896.0,1182,960,0,2142,0.0,0.0,2,1,4,1,8,1,1968.0,1.0,509.0,0,72,0,0,252,0,0,6,2009,12.173032791451973
82,120,32.0,4500,6,5,1998,1998,443.0,1201.0,0.0,36.0,1237.0,1337,0,0,1337,1.0,0.0,2,0,2,1,5,0,1998.0,2.0,405.0,0,199,0,0,0,0,0,3,2006,11.941455846009388
83,20,78.0,10206,8,5,2007,2007,468.0,33.0,0.0,1530.0,1563.0,1563,0,0,1563,0.0,0.0,2,0,3,1,6,1,2007.0,3.0,758.0,144,99,0,0,0,0,0,10,2008,12.409013489526863
84,20,80.0,8892,5,5,1960,1960,66.0,0.0,0.0,1065.0,1065.0,1065,0,0,1065,0.0,0.0,1,1,3,1,6,0,1974.0,2.0,461.0,74,0,0,0,0,0,0,7,2007,11.747997587149712
85,80,70.04995836802665,8530,7,5,1995,1996,22.0,0.0,0.0,384.0,384.0,804,670,0,1474,0.0,0.0,2,1,3,1,7,1,1995.0,2.0,400.0,120,72,0,0,0,0,700,5,2009,12.034691028774553
86,60,121.0,16059,8,5,1991,1992,284.0,0.0,0.0,1288.0,1288.0,1301,1116,0,2417,0.0,0.0,2,1,4,1,9,1,1991.0,2.0,462.0,127,82,0,0,0,0,0,4,2006,12.468436909997665
87,60,122.0,11911,6,5,2005,2005,0.0,0.0,0.0,684.0,684.0,684,876,0,1560,0.0,0.0,2,1,3,1,6,1,2005.0,2.0,400.0,100,38,0,0,0,0,0,3,2009,12.066810578196666
88,160,40.0,3951,6,5,2009,2009,76.0,0.0,0.0,612.0,612.0,612,612,0,1224,0.0,0.0,2,1,2,1,4,0,2009.0,2.0,528.0,0,234,0,0,0,0,0,6,2009,12.010665849187564
89,50,105.0,8470,3,2,1915,1982,0.0,0.0,0.0,1013.0,1013.0,1013,0,513,1526,0.0,0.0,1,0,2,1,6,0,1978.5061638868744,0.0,0.0,0,0,156,0,0,0,0,10,2009,11.350406535472453
90,20,60.0,8070,4,5,1994,1995,0.0,588.0,0.0,402.0,990.0,990,0,0,990,1.0,0.0,1,0,3,1,5,0,1978.5061638868744,0.0,0.0,0,0,0,0,0,0,0,8,2007,11.724805824005728
91,20,60.0,7200,4,5,1950,1950,0.0,0.0,0.0,0.0,0.0,1040,0,0,1040,0.0,0.0,1,0,2,1,4,0,1950.0,2.0,420.0,0,29,0,0,0,0,0,7,2006,11.607326140391713
92,20,85.0,8500,5,3,1961,1961,203.0,600.0,0.0,635.0,1235.0,1235,0,0,1235,0.0,0.0,1,0,2,1,6,0,1961.0,2.0,480.0,0,0,0,0,0,0,0,12,2006,11.498826540590727
93,30,80.0,13360,5,7,1921,2006,0.0,713.0,0.0,163.0,876.0,964,0,0,964,1.0,0.0,1,0,2,1,5,0,1921.0,2.0,432.0,0,0,44,0,0,0,0,8,2009,12.004568269319446
94,190,60.0,7200,6,6,1910,1998,0.0,1046.0,0.0,168.0,1214.0,1260,1031,0,2291,0.0,1.0,2,0,4,2,9,1,1900.0,2.0,506.0,0,0,0,0,99,0,0,11,2007,11.804848531679264
95,60,69.0,9337,6,5,1997,1997,0.0,648.0,0.0,176.0,824.0,905,881,0,1786,1.0,0.0,2,1,3,1,7,0,1997.0,2.0,684.0,0,162,0,0,0,0,0,5,2007,12.229545001715316
96,60,70.04995836802665,9765,6,8,1993,1993,68.0,310.0,0.0,370.0,680.0,680,790,0,1470,0.0,0.0,2,1,3,1,6,1,1993.0,2.0,420.0,232,63,0,0,0,0,480,4,2009,12.128111104060462
97,20,78.0,10264,7,5,1999,1999,183.0,1162.0,0.0,426.0,1588.0,1588,0,0,1588,0.0,0.0,2,0,3,1,6,0,1999.0,2.0,472.0,158,29,0,0,0,0,0,8,2006,12.273731294003989
98,20,73.0,10921,4,5,1965,1965,48.0,520.0,0.0,440.0,960.0,960,0,0,960,1.0,0.0,1,0,3,1,6,0,1965.0,1.0,432.0,120,0,0,0,0,0,0,5,2007,11.458997122944673
99,30,85.0,10625,5,5,1920,1950,0.0,108.0,0.0,350.0,458.0,835,0,0,835,0.0,0.0,1,0,2,1,5,0,1920.0,1.0,366.0,0,0,77,0,0,0,400,5,2010,11.326595886778735
100,20,77.0,9320,4,5,1959,1959,0.0,569.0,0.0,381.0,950.0,1225,0,0,1225,1.0,0.0,1,1,3,1,6,0,1978.5061638868744,0.0,0.0,352,0,0,0,0,0,400,1,2010,11.76718001130949
101,20,70.04995836802665,10603,6,7,1977,2001,28.0,1200.0,0.0,410.0,1610.0,1610,0,0,1610,1.0,0.0,2,0,3,1,6,2,1977.0,2.0,480.0,168,68,0,0,0,0,0,2,2010,12.230765258120545
102,60,77.0,9206,6,5,1985,1985,336.0,0.0,0.0,741.0,741.0,977,755,0,1732,0.0,0.0,2,1,3,1,7,1,1985.0,2.0,476.0,192,46,0,0,0,0,0,6,2010,12.089538829274222
103,90,64.0,7018,5,5,1979,1979,0.0,0.0,0.0,0.0,0.0,1535,0,0,1535,0.0,0.0,2,0,4,2,8,0,1979.0,2.0,410.0,0,0,0,0,0,0,0,6,2009,11.686576205316552
104,20,94.0,10402,7,5,2009,2009,0.0,0.0,0.0,1226.0,1226.0,1226,0,0,1226,0.0,0.0,2,0,3,1,6,0,2009.0,3.0,740.0,0,36,0,0,0,0,0,5,2010,12.200557464842063
105,50,70.04995836802665,7758,7,4,1931,1950,600.0,224.0,0.0,816.0,1040.0,1226,592,0,1818,0.0,0.0,1,1,4,1,7,2,1951.0,1.0,240.0,0,0,0,0,184,0,0,6,2007,12.040608205802641
106,60,75.0,9375,8,5,2003,2004,768.0,0.0,0.0,1053.0,1053.0,1053,939,0,1992,0.0,0.0,2,1,3,1,9,1,2003.0,2.0,648.0,140,45,0,0,0,0,0,8,2008,12.429216196844383
107,30,60.0,10800,4,7,1885,1995,0.0,0.0,0.0,641.0,641.0,1047,0,0,1047,0.0,0.0,1,0,2,1,6,0,1954.0,1.0,273.0,0,0,0,0,0,0,450,8,2007,11.512925464970229
108,20,50.0,6000,5,5,1948,1950,0.0,104.0,169.0,516.0,789.0,789,0,0,789,0.0,0.0,1,0,2,1,5,0,1948.0,1.0,250.0,0,0,0,0,0,0,0,4,2008,11.652687407345388
109,50,85.0,8500,5,7,1919,2005,0.0,0.0,0.0,793.0,793.0,997,520,0,1517,0.0,0.0,2,0,3,1,7,0,1978.5061638868744,0.0,0.0,0,0,144,0,0,0,0,8,2007,11.652687407345388
110,20,105.0,11751,6,6,1977,1977,480.0,705.0,0.0,1139.0,1844.0,1844,0,0,1844,0.0,0.0,2,0,3,1,7,1,1977.0,2.0,546.0,0,122,0,0,0,0,0,1,2010,12.154779351142624
111,50,75.0,9525,6,4,1954,1972,0.0,444.0,0.0,550.0,994.0,1216,639,0,1855,0.0,0.0,2,0,4,1,7,0,1954.0,1.0,325.0,182,0,0,0,0,0,0,10,2006,11.82700601127654
112,80,70.04995836802665,7750,7,5,2000,2000,0.0,250.0,0.0,134.0,384.0,774,656,0,1430,0.0,0.0,2,1,3,1,7,1,2000.0,2.0,400.0,180,0,0,0,0,0,0,4,2010,12.100712129872347
113,60,77.0,9965,7,5,2007,2007,220.0,984.0,0.0,280.0,1264.0,1282,1414,0,2696,1.0,0.0,2,1,4,1,10,1,2007.0,3.0,792.0,120,184,0,0,168,0,0,10,2007,12.858319703517948
114,20,70.04995836802665,21000,6,5,1953,1953,184.0,35.0,869.0,905.0,1809.0,2259,0,0,2259,1.0,0.0,2,0,3,1,7,2,1953.0,2.0,450.0,166,120,192,0,0,0,0,10,2007,12.287652632522597
115,70,61.0,7259,6,8,1945,2002,0.0,774.0,150.0,104.0,1028.0,1436,884,0,2320,1.0,0.0,2,1,3,1,9,1,1945.0,1.0,180.0,224,0,0,0,0,0,0,7,2007,12.46651198158808
116,160,34.0,3230,6,5,1999,1999,1129.0,419.0,0.0,310.0,729.0,729,729,0,1458,0.0,0.0,2,1,2,1,5,1,1999.0,2.0,440.0,0,32,0,0,0,0,0,6,2007,12.078239274020289
117,20,70.04995836802665,11616,5,5,1962,1962,116.0,170.0,670.0,252.0,1092.0,1092,0,0,1092,0.0,1.0,1,0,3,1,6,1,1962.0,1.0,288.0,0,20,144,0,0,0,0,9,2009,11.842229212112828
118,20,74.0,8536,5,5,2006,2007,0.0,0.0,0.0,1125.0,1125.0,1125,0,0,1125,0.0,0.0,1,1,2,1,5,0,2007.0,2.0,430.0,80,64,0,0,0,0,0,4,2007,11.951180395901384
119,60,90.0,12376,7,5,1990,1990,0.0,1470.0,0.0,203.0,1673.0,1699,1523,0,3222,1.0,0.0,3,0,5,1,11,2,1990.0,3.0,594.0,367,0,0,0,0,0,0,5,2010,12.676076274775909
